Assessed Governorate,Assessed District,District PCode,Site Name,Site Name A,Site PCode,Latitude,Longitude,Year of Displacement,Month of displacement  (2015 - 2016),Governorate of Orgin,District of Orgin,District of Orgin PCode,# Conflict IDPs HHs,# Conflict IDP Individuals,# Natural Disaster IDP HHs,# Natural Disaster IDP Individuals,Total IDP HHs,Total IDP Individuals,Avg Family Size,School Buildings,Health Facilities,Religious Buildings,Other Private Building,Other Public Building,Settlements (Grouped of Families) Urban and Rural,Isolated/dispersed settlements (detatched from a location),Rented Accomodation,Host Families Who are Relatives (no rent fee),Host Families Who are not Relatives (no rent fee),Second Home,Unknown,Main Needs,Interview Date,New Round,Source Of Info
Abyan,Al Mahfad,1201,Al-Mesyab,Al-Mesyab-المسياب,1201212632,,,2015,7,Aden,Al Mansura,"2,403",13,78,0,0,13,78,6,0,0,0,0,0,0,0,0,13,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Al-Rahbah,Al-Rahbah-الرحبه,1201212012,14.14569,46.62951,2015,5,Shabwah,Habban,"2,114",14,84,0,0,14,84,6,0,0,0,0,0,0,0,0,14,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Al-Sawad,Al-Sawad-السواد,1201211182,14.10451,46.87053,2015,6,Shabwah,Ataq,"2,113",12,72,0,0,12,72,6,0,0,0,0,0,0,0,0,12,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Al-Shaqeib,Al-Shaqeib-الشقيب,1201211072,14.04168,46.83152,2015,4,Aden,Khur Maksar,"2,408",15,90,0,0,15,90,6,0,0,0,0,0,0,0,0,15,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Box of Al-Sharqi,Box of Al-Sharqi-صندوق الشرقي,1201211162,14.10497,46.86266,2015,5,Aden,Khur Maksar,"2,408",14,84,0,0,14,84,6,0,0,0,0,0,0,0,0,14,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Cawrat Al Manae,Cawrat Al Manae-كورة ال مانع,1201211462,14.08688,46.86619,2015,5,Aden,Ash Shaikh Outhman,"2,402",19,114,0,0,19,114,6,0,0,0,0,0,0,0,0,19,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Cawrat Labakhah,Cawrat Labakhah-كورة لباخه,1201211752,14.00475,47.06225,2015,4,Aden,Ash Shaikh Outhman,"2,402",62,372,0,0,62,372,6,0,0,0,0,0,0,0,0,62,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Fara Al-Jarah,Fara Al-Jarah-فرع الجره,1201211922,14.01386,47.10686,2015,8,Aden,Ash Shaikh Outhman,"2,402",17,102,0,0,17,102,6,0,0,0,0,0,0,0,0,17,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Khor Ahl Dahas,Khor Ahl Dahas-خور اهل دحاس,1201211982,14.01229,47.01883,2015,5,Aden,Dar Sad,"2,401",8,48,0,0,8,48,6,0,0,0,0,0,0,0,0,8,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Mahfad,1201,Western Box Basowad,Western Box Basowad-صندوق الغربي باسواد,1201211122,14.10757,46.85503,2015,5,Aden,Khur Maksar,"2,408",11,66,0,0,11,66,6,0,0,0,0,0,0,0,0,11,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al - Marm,Al - Marm-آل مارم,1208999935,,,2015,4,Amanat Al Asimah,Bani Al Harith,"1,310",13,78,0,0,13,78,6,0,0,0,0,0,0,0,0,3,10,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al Malham,Al Malham-ال ملهم,1208211862,13.73777,45.9413,2015,4,Amanat Al Asimah,Assafi'yah,"1,304",13,78,0,0,13,78,6,0,0,0,0,0,0,0,0,4,9,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al-Hardoub,Al-Hardoub-الحردوب,1208212012,13.70256,46.02442,2015,6,Amanat Al Asimah,Assafi'yah,"1,304",8,48,0,0,8,48,6,0,0,0,0,0,0,0,0,8,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al-Rataey,Al-Rataey-الرتاعي,1208212212,13.69883,46.04538,2015,12,Taizz,Ash Shamayatayn,"1,514",7,42,0,0,7,42,6,0,0,0,0,0,0,0,0,7,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al-Shab,Al-Shab-الشعب,1208212452,13.73476,45.91843,2015,4,Sana'a,Sanhan,"2,305",7,42,0,0,7,42,6,0,0,0,0,0,0,0,0,7,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Al-Wadhee'e,Al-Wadhee'e-الوضيع,1208210012,13.77106,46.00866,2015,4,Amanat Al Asimah,Assafi'yah,"1,304",16,96,0,0,16,96,6,0,0,0,0,0,0,0,5,11,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Amkado,Amkado-امكدو,1208211302,13.73323,46.00292,2015,4,Sana'a,Sanhan,"2,305",7,42,0,0,7,42,6,0,0,0,0,0,0,0,0,7,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Amlajfah,Amlajfah-املجفه,1208211672,13.70544,45.94846,2015,12,Taizz,Salh,"1,519",8,48,0,0,8,48,6,0,0,0,0,0,0,0,0,8,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Amr Cad,Amr Cad-امر كد,1208211622,13.71962,45.88558,2015,6,Sana'a,Sanhan,"2,305",10,60,0,0,10,60,6,0,0,0,0,0,0,0,5,5,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Al Wade'a,1208,Cawrah Al-Asous,Cawrah Al-Asous-كوره العسوس,1208211062,13.78804,45.9838,2015,7,Amanat Al Asimah,Bani Al Harith,"1,310",9,54,0,0,9,54,6,0,0,0,0,0,0,0,0,9,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Al-Souq,Al-Souq-السوق,1203999531,46.16575,14.16404,2015,5,Abyan,Mudiyah,"1,202",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Child protection services,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Amlahah,Amlahah-املحه,1203211122,14.24938,46.18462,2015,5,Abyan,Mudiyah,"1,202",3,18,0,0,3,18,6,0,0,0,0,0,0,0,0,3,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Amradah,Amradah-امرده,1203211302,14.23243,46.25999,2015,5,Abyan,Mudiyah,"1,202",2,12,0,0,2,12,6,0,0,0,0,0,0,0,0,2,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Amsayam,Amsayam-امصيعم,1203212262,14.24468,46.13521,2015,5,Abyan,Mudiyah,"1,202",2,12,0,0,2,12,6,0,0,0,0,0,2,0,0,0,0,0,0,Household Items (NFI),"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Carash,Carash-كراش,1203211322,14.23168,46.25064,2015,5,Abyan,Mudiyah,"1,202",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Hatyos Al-Aala,Hatyos Al-Aala-حاطيوس الاعلى,1203211022,14.24062,46.16898,2015,5,Abyan,Mudiyah,"1,202",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Household Items (NFI),"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Nejd Al-Ans,Nejd Al-Ans-نجد العنس,1203211782,14.25737,46.18595,2015,5,Abyan,Mudiyah,"1,202",3,18,0,0,3,18,6,0,0,0,0,0,0,0,3,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Jayshan,1203,Shab Amjalb,Shab Amjalb-شعب امجلب,1203211102,14.2546,46.18897,2015,5,Abyan,Mudiyah,"1,202",2,12,0,0,2,12,6,0,0,0,0,0,0,0,2,0,0,0,0,Shelter/Housing,"Nov 10, 2016",13,IOM
Abyan,Khanfir,1211,Shaqrah,Shaqrah-شقره,1211211582,13.35909,45.6987,2015,10,Al Hudaydah,Al Khawkhah,"1,820",156,936,0,0,156,936,6,0,0,0,0,12,0,0,68,76,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Eyn,Al-Eyn-العين,1204211732,13.79914,45.88701,2015,5,Taizz,Salh,"1,519",14,84,0,0,14,84,6,0,0,0,0,0,0,0,11,3,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Hudn,Al-Hudn-الحضن,1204999110,,,2015,8,Al Bayda,Mukayras,"1,408",35,210,0,0,35,210,6,0,0,0,0,0,0,0,22,13,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Jauf Amzareib,Al-Jauf Amzareib-الجوف امزريب,1204211192,13.85184,45.83148,2015,5,Al Bayda,Mukayras,"1,408",15,90,0,0,15,90,6,0,0,0,0,0,0,0,15,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Khadeerah,Al-Khadeerah-الخديره,1204211922,13.84106,45.96137,2015,6,Taizz,Al  Mukha,"1,505",11,66,0,0,11,66,6,0,0,0,0,0,0,0,0,8,3,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Khalef,Al-Khalef-الخالف,1204212842,13.79189,45.75834,2015,7,Abyan,Lawdar,"1,204",3,18,0,0,3,18,6,0,0,0,0,0,0,0,3,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Mashraqah,Al-Mashraqah-المشرقه,1204211512,13.86285,45.78961,2015,7,Al Bayda,Mukayras,"1,408",4,24,0,0,4,24,6,0,0,0,0,0,0,0,4,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Najdah,Al-Najdah-النجده,1204212172,13.92148,45.90093,2015,4,Sana'a,Sanhan,"2,305",15,90,0,0,15,90,6,0,0,0,0,0,0,0,12,3,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Qanah Al-Olya,Al-Qanah Al-Olya-القنه العليا,1204214642,13.84877,45.76813,2015,7,Abyan,Lawdar,"1,204",6,36,0,0,6,36,6,0,0,0,0,0,0,0,0,6,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Qanah Al-Sofla,Al-Qanah Al-Sofla-القنه السفلى,1204211452,13.83986,45.76879,2015,7,Abyan,Lawdar,"1,204",12,72,0,0,12,72,6,0,0,0,0,0,0,0,0,12,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Al-Rokbah,Al-Rokbah-الركبه,1204211522,13.86412,45.78541,2015,7,Al Bayda,Mukayras,"1,408",6,36,0,0,6,36,6,0,0,0,0,0,0,0,6,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Amajel,Amajel-ا ماجل,1204212862,13.80552,45.77561,2015,7,Abyan,Lawdar,"1,204",25,150,0,0,25,150,6,0,0,0,0,0,0,0,0,25,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Amsarah,Amsarah-امصره,1204213122,13.65798,45.84296,2015,7,Taizz,Jabal Habashy,"1,508",14,84,0,0,14,84,6,0,0,0,0,0,0,0,2,10,2,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Amshah,Amshah-امشعه,1204212192,13.94021,45.88676,2015,5,Amanat Al Asimah,Shu'aub,"1,302",22,132,0,0,22,132,6,0,0,0,0,0,0,0,19,3,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Hashan,Hashan-هشان,1204214242,13.79434,45.62276,2015,7,Abyan,Lawdar,"1,204",12,72,0,0,12,72,6,0,0,0,0,0,0,0,2,6,4,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Lowder,Lowder-لودر,1204210020,13.897801183,45.856982195,2015,8,Al Bayda,Mukayras,"1,408",129,774,0,0,129,774,6,0,0,0,2,0,21,0,69,37,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Masdad Dahmas,Masdad Dahmas-مسدد دهمس,1204212782,13.83697,45.73112,2015,7,Al Bayda,Mukayras,"1,408",23,138,0,0,23,138,6,0,0,0,0,0,0,0,17,6,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Qa'a Aal Husein,Qa'a Aal Husein-قاع ال حسين,1204214922,13.84717,45.98191,2015,4,Taizz,Salh,"1,519",33,198,0,0,33,198,6,0,0,0,0,0,0,0,22,11,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Lawdar,1204,Shohat,Shohat-شوحط,1204999111,45.84994,13.91676,2015,4,Amanat Al Asimah,Al Wahdah,"1,306",11,66,0,0,11,66,6,0,0,0,0,0,0,0,11,0,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Mudiyah,1202,Al Mamratt,Al Mamratt-ال ممرط,1202211142,13.92924,46.04219,2015,4,Taizz,Al Mudhaffar,"1,517",2,12,0,0,2,12,6,0,0,0,0,0,0,0,0,2,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Mudiyah,1202,Al-Qaleitah,Al-Qaleitah-القليته,1202211662,13.91614,46.15545,2015,4,Amanat Al Asimah,As Sabain,"1,305",3,18,0,0,3,18,6,0,0,0,0,0,0,0,0,3,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Mudiyah,1202,Amsarah,Amsarah-امصره,1202211912,13.95787,46.22556,2015,4,Amanat Al Asimah,Assafi'yah,"1,304",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Mudiyah,1202,Jeblat Badeh,Jeblat Badeh-جبلة بادح,1202211322,13.84051,46.05363,2015,4,Taizz,Al Mudhaffar,"1,517",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Mudiyah,1202,Moudya,Moudya-موديه,1202210020,13.92992483,46.08590108,2015,4,Taizz,Al Mudhaffar,"1,517",20,120,0,0,20,120,6,0,0,0,0,0,0,0,6,14,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Aala Cad'hyah,Aala Cad'hyah-اعلى كدهيه,1206214582,13.75108,45.25461,2015,9,Al Hudaydah,Al Hawak,"1,821",21,126,0,0,21,126,6,0,0,0,0,0,0,0,0,21,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Aala Sheib,Aala Sheib-اعلىشيب,1206214892,13.71687,45.26377,2015,10,Sana'a,Hamdan,"2,301",30,180,0,0,30,180,6,0,0,0,0,0,0,0,0,30,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Abr,Abr-عبر,1206214832,13.72604,45.27604,2015,8,Al Hudaydah,Al Mina,"1,822",12,72,0,0,12,72,6,0,0,0,0,0,0,0,0,12,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Dhafr,Al-Dhafr-الظفر,1206215502,13.79477,45.25719,2015,9,Al Hudaydah,Al Hali,"1,823",27,162,0,0,27,162,6,0,0,0,0,0,0,0,0,27,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Hajeb,Al-Hajeb-الحاجب,1206214882,13.72394,45.27023,2015,8,Abyan,Khanfir,"1,211",21,126,0,0,21,126,6,0,0,0,0,0,0,0,0,21,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Khadhra,Al-Khadhra-الخضراء,1206213172,,,2015,8,Amanat Al Asimah,Ma'ain,"1,308",29,174,0,0,29,174,6,0,0,0,0,0,0,0,3,26,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Masnah,Al-Masnah-المصنعه,1206215212,,,2015,8,Sana'a,Sanhan,"2,305",28,168,0,0,28,168,6,0,0,0,0,0,0,0,0,28,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Mawsaf,Al-Mawsaf-الموصف,1206214662,13.7441,45.25634,2015,7,Taizz,Dimnat Khadir,"1,512",28,168,0,0,28,168,6,0,0,0,0,0,0,0,3,25,0,0,0,Food,"Nov 10, 2016",13,IOM
