Destination,Origin,M_Size,Date,DataDate,OrigFood,OrigFuel,OrigWage,DestFood,DestFuel,DestWage,NumMonths
Edlib,Aleppo,4768,Aug 2017,May 2017,450,1490,1900,312.5,4787.5,1950,19
Edlib,Aleppo,2875,Sep 2017,Jun 2017,431.5,1475,2e3,350,4385,2e3,20
Lattakia,Aleppo,525,Sep 2017,Jun 2017,431.5,1475,2e3,412.5,1650,2e3,20
Tartous,Aleppo,127,Sep 2017,Jun 2017,431.5,1475,2e3,425,1650,1850,20
As_Suweida,Aleppo,15,Sep 2017,Jun 2017,431.5,1475,2e3,425,1637.5,1900,20
Al_Qunaytirah,Aleppo,10,Sep 2017,Jun 2017,431.5,1475,2e3,419,1494,1350,20
Hassakeh,Aleppo,4,Sep 2017,Jun 2017,431.5,1475,2e3,425,1300,950,20
Edlib,Aleppo,3447,Oct 2017,Jul 2017,450,1462.5,2e3,350,4385,2e3,21
Lattakia,Aleppo,201,Oct 2017,Jul 2017,450,1462.5,2e3,400,1650,2e3,21
Tartous,Aleppo,95,Oct 2017,Jul 2017,450,1462.5,2e3,425,1650,1900,21
Hassakeh,Aleppo,107,Oct 2017,Jul 2017,450,1462.5,2e3,425,1312.5,950,21
Raqqa,Aleppo,25,Oct 2017,Jul 2017,450,1462.5,2e3,500,1525,1850,21
Tartous,Aleppo,215,Nov 2017,Aug 2017,450,1475,2e3,412.5,1650,1900,22
Lattakia,Aleppo,295,Nov 2017,Aug 2017,450,1475,2e3,391.5,1650,2e3,22
Hassakeh,Aleppo,26,Nov 2017,Aug 2017,450,1475,2e3,412.5,1325,950,22
Edlib,Aleppo,11555,Nov 2017,Aug 2017,450,1475,2e3,450,3890,2e3,22
Homs,Aleppo,24,Nov 2017,Aug 2017,450,1475,2e3,510,1412.5,1800,22
Edlib,Aleppo,4262,Dec 2017,Sep 2017,472.5,1475,2e3,460,3895,2e3,23
Aleppo,Aleppo,134651,Jan 2016,Oct 2015,268.5,1426.5,1e3,268.5,1426.5,1e3,0
Hassakeh,Hassakeh,3452,Jan 2016,Oct 2015,284.5,1265,800,284.5,1265,800,0
Raqqa,Raqqa,1031,Jan 2016,Oct 2015,380,2259,1500,380,2259,1500,0
City-Damascus,City-Damascus,1767,Jan 2016,Oct 2015,239.5,1017.5,1475,239.5,1017.5,1475,0
Daraa,Daraa,41596,Jan 2016,Oct 2015,242.5,1125,700,242.5,1125,700,0
Deir Ezzor,Deir Ezzor,18296,Jan 2016,Oct 2015,428,3700,875,428,3700,875,0
Hama,Hama,5307,Jan 2016,Oct 2015,282,957,1e3,282,957,1e3,0
Homs,Homs,1258,Jan 2016,Oct 2015,306.5,1257.5,975,306.5,1257.5,975,0
Edlib,Edlib,3617,Jan 2016,Oct 2015,283.25,1261.25,1e3,283.25,1261.25,1e3,0
Lattakia,Lattakia,654,Jan 2016,Oct 2015,293.5,1004,1e3,293.5,1004,1e3,0
Damascus,Damascus,17978,Jan 2016,Oct 2015,412.5,2627.5,1475,412.5,2627.5,1475,0
Aleppo,Aleppo,72344,Feb 2016,Nov 2015,278.5,1417,1e3,278.5,1417,1e3,1
Hassakeh,Hassakeh,9829,Feb 2016,Nov 2015,292,1240,800,292,1240,800,1
Raqqa,Raqqa,1046,Feb 2016,Nov 2015,380,2264.5,1500,380,2264.5,1500,1
As_Suweida,As_Suweida,25,Feb 2016,Nov 2015,275,1400,1200,275,1400,1200,1
Daraa,Daraa,67008,Feb 2016,Nov 2015,287.5,1144,700,287.5,1144,700,1
Deir Ezzor,Deir Ezzor,3194,Feb 2016,Nov 2015,453,3775,1e3,453,3775,1e3,1
Hama,Hama,1429,Feb 2016,Nov 2015,288,992.5,1e3,288,992.5,1e3,1
Homs,Homs,14206,Feb 2016,Nov 2015,297.5,1270,1100,297.5,1270,1100,1
Edlib,Edlib,4358,Feb 2016,Nov 2015,294.75,1255,1050,294.75,1255,1050,1
Lattakia,Lattakia,1035,Feb 2016,Nov 2015,333,1063.5,1e3,333,1063.5,1e3,1
Al_Qunaytirah,Al_Qunaytirah,230,Feb 2016,Nov 2015,294.75,1255,1050,294.75,1255,1050,1
Damascus,Damascus,9624,Feb 2016,Nov 2015,437.5,2627.5,1475,437.5,2627.5,1475,1
Aleppo,Aleppo,25472,Mar 2016,Dec 2015,327.5,1098,1e3,327.5,1098,1e3,2
Hassakeh,Hassakeh,5050,Mar 2016,Dec 2015,316.5,1127.5,800,316.5,1127.5,800,2
Raqqa,Raqqa,916,Mar 2016,Dec 2015,375,2277.5,1500,375,2277.5,1500,2
Daraa,Daraa,18312,Mar 2016,Dec 2015,335,1170,700,335,1170,700,2
Deir Ezzor,Deir Ezzor,1095,Mar 2016,Dec 2015,467.5,2475,1e3,467.5,2475,1e3,2
Hama,Hama,1532,Mar 2016,Dec 2015,310,990.5,1062.5,310,990.5,1062.5,2
Homs,Homs,4678,Mar 2016,Dec 2015,311.5,1275,1100,311.5,1275,1100,2
Edlib,Edlib,11077,Mar 2016,Dec 2015,331.25,1148.75,1090,331.25,1148.75,1090,2
Al_Qunaytirah,Al_Qunaytirah,160,Mar 2016,Dec 2015,331.25,1148.75,1090,331.25,1148.75,1090,2
Damascus,Damascus,7591,Mar 2016,Dec 2015,564,3435,1475,564,3435,1475,2
Aleppo,Aleppo,74196,Apr 2016,Jan 2016,270.83335,1125,150,270.83335,1125,150,3
Hassakeh,Hassakeh,5496,Apr 2016,Jan 2016,300,1830,800,300,1830,800,3
Raqqa,Raqqa,2145,Apr 2016,Jan 2016,250,2275,1500,250,2275,1500,3
City-Damascus,City-Damascus,400,Apr 2016,Jan 2016,312.5,1111.6666500000001,1500,312.5,1111.6666500000001,1500,3
Daraa,Daraa,7005,Apr 2016,Jan 2016,325,1150,900,325,1150,900,3
Deir Ezzor,Deir Ezzor,763,Apr 2016,Jan 2016,450,2825,1100,450,2825,1100,3
Hama,Hama,375,Apr 2016,Jan 2016,237.5,1041.6666500000001,1100,237.5,1041.6666500000001,1100,3
Homs,Homs,1151,Apr 2016,Jan 2016,271.66665,1015.83335,1e3,271.66665,1015.83335,1e3,3
Edlib,Edlib,3370,Apr 2016,Jan 2016,300,1140,1150,300,1140,1150,3
Al_Qunaytirah,Al_Qunaytirah,74,Apr 2016,Jan 2016,300,1140,1150,300,1140,1150,3
Damascus,Damascus,2703,Apr 2016,Jan 2016,529.1667,4741.66665,1500,529.1667,4741.66665,1500,3
Tartous,Tartous,5040,Apr 2016,Jan 2016,325,1032.5,1500,325,1032.5,1500,3
Aleppo,Aleppo,28774,May 2016,Feb 2016,302.5,1847.5,450,302.5,1847.5,450,4
Hassakeh,Hassakeh,831,May 2016,Feb 2016,300,1930,800,300,1930,800,4
Raqqa,Raqqa,1984,May 2016,Feb 2016,287.5,2275,1500,287.5,2275,1500,4
As_Suweida,As_Suweida,54,May 2016,Feb 2016,300,1375,1200,300,1375,1200,4
City-Damascus,City-Damascus,75,May 2016,Feb 2016,312.5,1125,1500,312.5,1125,1500,4
Daraa,Daraa,2660,May 2016,Feb 2016,325,1156.25,900,325,1156.25,900,4
Deir Ezzor,Deir Ezzor,768,May 2016,Feb 2016,500,1500,1200,500,1500,1200,4
Hama,Hama,4082,May 2016,Feb 2016,281.25,2112.5,1100,281.25,2112.5,1100,4
Homs,Homs,2727,May 2016,Feb 2016,350,1335,1100,350,1335,1100,4
Edlib,Edlib,26478,May 2016,Feb 2016,302.5,1375,1200,302.5,1375,1200,4
Al_Qunaytirah,Al_Qunaytirah,24,May 2016,Feb 2016,300,1150,1200,300,1150,1200,4
Damascus,Damascus,19130,May 2016,Feb 2016,575,4750,1500,575,4750,1500,4
Aleppo,Aleppo,48387,Jun 2016,Mar 2016,278.75,1035,750,278.75,1035,750,5
Hassakeh,Hassakeh,629,Jun 2016,Mar 2016,400,1405,800,400,1405,800,5
Raqqa,Raqqa,2877,Jun 2016,Mar 2016,300,2075,1500,300,2075,1500,5
City-Damascus,City-Damascus,10,Jun 2016,Mar 2016,312.5,1125,1500,312.5,1125,1500,5
Daraa,Daraa,1316,Jun 2016,Mar 2016,275,1150,900,275,1150,900,5
Deir Ezzor,Deir Ezzor,913,Jun 2016,Mar 2016,537.5,2850,1100,537.5,2850,1100,5
Hama,Hama,3031,Jun 2016,Mar 2016,243.75,3612.5,1e3,243.75,3612.5,1e3,5
Homs,Homs,3028,Jun 2016,Mar 2016,306.25,1266.25,1200,306.25,1266.25,1200,5
Edlib,Edlib,35256,Jun 2016,Mar 2016,306.25,1266.25,1200,306.25,1266.25,1200,5
Al_Qunaytirah,Al_Qunaytirah,315,Jun 2016,Mar 2016,275,1150,1200,275,1150,1200,5
Damascus,Damascus,5585,Jun 2016,Mar 2016,400,2500,1500,400,2500,1500,5
Aleppo,Aleppo,33738,Jul 2016,Apr 2016,350,1100,750,350,1100,750,6
Hassakeh,Hassakeh,335,Jul 2016,Apr 2016,500,1580,800,500,1580,800,6
Raqqa,Raqqa,1281,Jul 2016,Apr 2016,375,2156.25,1625,375,2156.25,1625,6
Daraa,Daraa,3151,Jul 2016,Apr 2016,300,1150,900,300,1150,900,6
Deir Ezzor,Deir Ezzor,1506,Jul 2016,Apr 2016,625,3050,1100,625,3050,1100,6
Hama,Hama,467,Jul 2016,Apr 2016,370,3612.5,1500,370,3612.5,1500,6
Homs,Homs,8508,Jul 2016,Apr 2016,325,1335,1e3,325,1335,1e3,6
Edlib,Edlib,26762,Jul 2016,Apr 2016,265,2735,1600,265,2735,1600,6
Al_Qunaytirah,Al_Qunaytirah,33,Jul 2016,Apr 2016,312.5,1150,1200,312.5,1150,1200,6
Damascus,Damascus,22577,Jul 2016,Apr 2016,425,2500,1500,425,2500,1500,6
Tartous,Tartous,30,Jul 2016,Apr 2016,375,1157.5,1500,375,1157.5,1500,6
Aleppo,Aleppo,105048,Aug 2016,May 2016,462,1100,750,462,1100,750,7
Hassakeh,Hassakeh,9631,Aug 2016,May 2016,625,2280,900,625,2280,900,7
Raqqa,Raqqa,326,Aug 2016,May 2016,525,2175,1750,525,2175,1750,7
Daraa,Daraa,344,Aug 2016,May 2016,331.25,1135,900,331.25,1135,900,7
Deir Ezzor,Deir Ezzor,541,Aug 2016,May 2016,800,4050,1150,800,4050,1150,7
Hama,Hama,142,Aug 2016,May 2016,312.5,3072.5,1e3,312.5,3072.5,1e3,7
Homs,Homs,5914,Aug 2016,May 2016,480,1335,1e3,480,1335,1e3,7
Edlib,Edlib,47464,Aug 2016,May 2016,362.5,3400,1600,362.5,3400,1600,7
Al_Qunaytirah,Al_Qunaytirah,169,Aug 2016,May 2016,351.5,1137.5,1200,351.5,1137.5,1200,7
Damascus,Damascus,14970,Aug 2016,May 2016,450,2500,1500,450,2500,1500,7
Aleppo,Aleppo,39396,Sep 2016,Jun 2016,475,1262.5,750,475,1262.5,750,8
Hassakeh,Hassakeh,1693,Sep 2016,Jun 2016,650,2630,850,650,2630,850,8
Raqqa,Raqqa,6933,Sep 2016,Jun 2016,600,2200,1750,600,2200,1750,8
As_Suweida,As_Suweida,1090,Sep 2016,Jun 2016,431.25,1375,1300,431.25,1375,1300,8
City-Damascus,City-Damascus,2561,Sep 2016,Jun 2016,400,1245,1500,400,1245,1500,8
Daraa,Daraa,2860,Sep 2016,Jun 2016,337.5,1909,900,337.5,1909,900,8
Deir Ezzor,Deir Ezzor,809,Sep 2016,Jun 2016,612.5,3750,975,612.5,3750,975,8
Hama,Hama,114056,Sep 2016,Jun 2016,386.5,3082.5,1e3,386.5,3082.5,1e3,8
Homs,Homs,1822,Sep 2016,Jun 2016,400,1125,500,400,1125,500,8
Edlib,Edlib,28420,Sep 2016,Jun 2016,387.5,3240,1750,387.5,3240,1750,8
Lattakia,Lattakia,2024,Sep 2016,Jun 2016,419,1309,1600,419,1309,1600,8
Al_Qunaytirah,Al_Qunaytirah,577,Sep 2016,Jun 2016,400,1325,1200,400,1325,1200,8
Damascus,Damascus,2848,Sep 2016,Jun 2016,519,2512.5,1500,519,2512.5,1500,8
Tartous,Tartous,1655,Sep 2016,Jun 2016,475,1386.5,1500,475,1386.5,1500,8
Aleppo,Aleppo,27413,Oct 2016,Jul 2016,506.5,1462.5,900,506.5,1462.5,900,9
Hassakeh,Hassakeh,68,Oct 2016,Jul 2016,680,2380,900,680,2380,900,9
Raqqa,Raqqa,1054,Oct 2016,Jul 2016,525,875,1750,525,875,1750,9
City-Damascus,City-Damascus,21,Oct 2016,Jul 2016,434,1370,1500,434,1370,1500,9
Daraa,Daraa,4954,Oct 2016,Jul 2016,400,2750,925,400,2750,925,9
Deir Ezzor,Deir Ezzor,447,Oct 2016,Jul 2016,850,4150,1050,850,4150,1050,9
Hama,Hama,6608,Oct 2016,Jul 2016,400,2465.5,1e3,400,2465.5,1e3,9
Homs,Homs,1006,Oct 2016,Jul 2016,400,1175,500,400,1175,500,9
Edlib,Edlib,2202,Oct 2016,Jul 2016,440,2862.5,1750,440,2862.5,1750,9
Al_Qunaytirah,Al_Qunaytirah,45,Oct 2016,Jul 2016,431.5,1519,1200,431.5,1519,1200,9
Damascus,Damascus,3969,Oct 2016,Jul 2016,525,2775,1500,525,2775,1500,9
Tartous,Tartous,7,Oct 2016,Jul 2016,475,1474,1500,475,1474,1500,9
Aleppo,Aleppo,54780,Nov 2016,Aug 2016,462.5,1500,1e3,462.5,1500,1e3,10
Hassakeh,Hassakeh,2015,Nov 2016,Aug 2016,575,2280,950,575,2280,950,10
Raqqa,Raqqa,5983,Nov 2016,Aug 2016,525,1850,1800,525,1850,1800,10
Daraa,Daraa,2756,Nov 2016,Aug 2016,394,2350,950,394,2350,950,10
Deir Ezzor,Deir Ezzor,262,Nov 2016,Aug 2016,625,4e3,1150,625,4e3,1150,10
Hama,Hama,4365,Nov 2016,Aug 2016,400,2465.5,1e3,400,2465.5,1e3,10
Homs,Homs,163,Nov 2016,Aug 2016,400,1375,1e3,400,1375,1e3,10
Edlib,Edlib,3466,Nov 2016,Aug 2016,450,4120,1800,450,4120,1800,10
Damascus,Damascus,1209,Nov 2016,Aug 2016,550,2775,1500,550,2775,1500,10
Aleppo,Aleppo,120591,Dec 2016,Sep 2016,600,1900,1500,600,1900,1500,11
Hassakeh,Hassakeh,805,Dec 2016,Sep 2016,600,1759,900,600,1759,900,11
Raqqa,Raqqa,10140,Dec 2016,Sep 2016,525,1850,1825,525,1850,1825,11
Daraa,Daraa,2270,Dec 2016,Sep 2016,400,2100,1e3,400,2100,1e3,11
Deir Ezzor,Deir Ezzor,396,Dec 2016,Sep 2016,737.5,3325,1150,737.5,3325,1150,11
Hama,Hama,335,Dec 2016,Sep 2016,425,2400,1e3,425,2400,1e3,11
Homs,Homs,835,Dec 2016,Sep 2016,460,1475,1e3,460,1475,1e3,11
Edlib,Edlib,1394,Dec 2016,Sep 2016,450,4120,1850,450,4120,1850,11
Damascus,Damascus,516,Dec 2016,Sep 2016,550,2750,1500,550,2750,1500,11
Tartous,Tartous,4,Dec 2016,Sep 2016,450,1495,1625,450,1495,1625,11
As_Suweida,As_Suweida,65,Jan 2017,Oct 2016,425,1587.5,1500,425,1587.5,1500,12
Tartous,Tartous,68,Jan 2017,Oct 2016,462.5,1545,1850,462.5,1545,1850,12
Lattakia,Lattakia,110,Jan 2017,Oct 2016,400,1442.5,1900,400,1442.5,1900,12
Daraa,Daraa,307,Jan 2017,Oct 2016,400,1512.5,1150,400,1512.5,1150,12
Hassakeh,Hassakeh,749,Jan 2017,Oct 2016,550,1212.5,900,550,1212.5,900,12
City-Damascus,City-Damascus,927,Jan 2017,Oct 2016,431.25,1470,1500,431.25,1470,1500,12
Deir Ezzor,Deir Ezzor,1243,Jan 2017,Oct 2016,800,2737.5,1150,800,2737.5,1150,12
Edlib,Edlib,1523,Jan 2017,Oct 2016,375,3730,2e3,375,3730,2e3,12
Homs,Homs,1542,Jan 2017,Oct 2016,455,1462.5,2e3,455,1462.5,2e3,12
Hama,Hama,1696,Jan 2017,Oct 2016,420,2430,1e3,420,2430,1e3,12
Raqqa,Raqqa,6096,Jan 2017,Oct 2016,512.5,1725,1650,512.5,1725,1650,12
Aleppo,Aleppo,31259,Jan 2017,Oct 2016,500,2175,1500,500,2175,1500,12
Damascus,Damascus,31531,Jan 2017,Oct 2016,500,1850,1500,500,1850,1500,12
Tartous,Tartous,54,Feb 2017,Nov 2016,412.5,1545,1625,412.5,1545,1625,13
As_Suweida,As_Suweida,75,Feb 2017,Nov 2016,425,1587.5,1500,425,1587.5,1500,13
Lattakia,Lattakia,125,Feb 2017,Nov 2016,412.5,1496,1800,412.5,1496,1800,13
Homs,Homs,296,Feb 2017,Nov 2016,485,1455,2e3,485,1455,2e3,13
Damascus,Damascus,723,Feb 2017,Nov 2016,500,1600,1500,500,1600,1500,13
Hama,Hama,889,Feb 2017,Nov 2016,525,1800,2e3,525,1800,2e3,13
Hassakeh,Hassakeh,1009,Feb 2017,Nov 2016,531.25,1262.5,900,531.25,1262.5,900,13
Deir Ezzor,Deir Ezzor,1110,Feb 2017,Nov 2016,1e3,4250,1150,1e3,4250,1150,13
Edlib,Edlib,1642,Feb 2017,Nov 2016,412.5,3512.5,2e3,412.5,3512.5,2e3,13
Daraa,Daraa,2914,Feb 2017,Nov 2016,400,1562.5,1150,400,1562.5,1150,13
City-Damascus,City-Damascus,7151,Feb 2017,Nov 2016,450,1470,1500,450,1470,1500,13
Raqqa,Raqqa,12395,Feb 2017,Nov 2016,512.5,1262.5,1600,512.5,1262.5,1600,13
Aleppo,Aleppo,108595,Feb 2017,Nov 2016,525,2350,1500,525,2350,1500,13
Daraa,Daraa,50,Mar 2017,Dec 2016,400,1562.5,1050,400,1562.5,1050,14
As_Suweida,As_Suweida,87,Mar 2017,Dec 2016,437.5,1675,1500,437.5,1675,1500,14
Tartous,Tartous,95,Mar 2017,Dec 2016,425,1595,1650,425,1595,1650,14
Homs,Homs,470,Mar 2017,Dec 2016,450,1462.5,1100,450,1462.5,1100,14
Hassakeh,Hassakeh,554,Mar 2017,Dec 2016,512.5,1187.5,900,512.5,1187.5,900,14
Deir Ezzor,Deir Ezzor,964,Mar 2017,Dec 2016,1e3,4250,1150,1e3,4250,1150,14
Damascus,Damascus,1044,Mar 2017,Dec 2016,510,1700,1500,510,1700,1500,14
City-Damascus,City-Damascus,2514,Mar 2017,Dec 2016,450,1545,1500,450,1545,1500,14
Edlib,Edlib,4670,Mar 2017,Dec 2016,450,4075,1700,450,4075,1700,14
Hama,Hama,24927,Mar 2017,Dec 2016,465,2475,1600,465,2475,1600,14
Raqqa,Raqqa,33641,Mar 2017,Dec 2016,537.5,1625,1600,537.5,1625,1600,14
Aleppo,Aleppo,148593,Mar 2017,Dec 2016,525,2800,1350,525,2800,1350,14
Hama,Hama,273,Apr 2017,Jan 2017,525,1592.5,1300,525,1592.5,1300,15
Homs,Homs,313,Apr 2017,Jan 2017,450,1455,1150,450,1455,1150,15
As_Suweida,As_Suweida,544,Apr 2017,Jan 2017,425,1762.5,1500,425,1762.5,1500,15
City-Damascus,City-Damascus,1044,Apr 2017,Jan 2017,450,1620,1500,450,1620,1500,15
Tartous,Tartous,1067,Apr 2017,Jan 2017,412.5,1545,1650,412.5,1545,1650,15
Lattakia,Lattakia,1435,Apr 2017,Jan 2017,387.5,1425,1900,387.5,1425,1900,15
Damascus,Damascus,1603,Apr 2017,Jan 2017,510,1675,1500,510,1675,1500,15
Deir Ezzor,Deir Ezzor,2064,Apr 2017,Jan 2017,1125,4250,1150,1125,4250,1150,15
Al_Qunaytirah,Al_Qunaytirah,5728,Apr 2017,Jan 2017,377.5,1525,1250,377.5,1525,1250,15
Hassakeh,Hassakeh,6173,Apr 2017,Jan 2017,487.5,1250,900,487.5,1250,900,15
Daraa,Daraa,12858,Apr 2017,Jan 2017,400,1562.5,1050,400,1562.5,1050,15
Aleppo,Aleppo,17594,Apr 2017,Jan 2017,413,1462.5,1550,413,1462.5,1550,15
Edlib,Edlib,41851,Apr 2017,Jan 2017,400,4082.5,1700,400,4082.5,1700,15
Raqqa,Raqqa,87885,Apr 2017,Jan 2017,500,1300,1600,500,1300,1600,15
City-Damascus,City-Damascus,57,May 2017,Feb 2017,450,1647.5,1500,450,1647.5,1500,16
Lattakia,Lattakia,83,May 2017,Feb 2017,396.5,1387.5,1900,396.5,1387.5,1900,16
Al_Qunaytirah,Al_Qunaytirah,230,May 2017,Feb 2017,382.5,1537.5,1275,382.5,1537.5,1275,16
Damascus,Damascus,353,May 2017,Feb 2017,475,1665,1500,475,1665,1500,16
Deir Ezzor,Deir Ezzor,545,May 2017,Feb 2017,1e3,4e3,1150,1e3,4e3,1150,16
As_Suweida,As_Suweida,551,May 2017,Feb 2017,425,1775,1500,425,1775,1500,16
Homs,Homs,804,May 2017,Feb 2017,440,1460,1150,440,1460,1150,16
Hama,Hama,1051,May 2017,Feb 2017,540,1575,1400,540,1575,1400,16
Tartous,Tartous,1705,May 2017,Feb 2017,410,1379,1675,410,1379,1675,16
Daraa,Daraa,6098,May 2017,Feb 2017,400,1550,1050,400,1550,1050,16
Hassakeh,Hassakeh,7942,May 2017,Feb 2017,437.5,1200,900,437.5,1200,900,16
Aleppo,Aleppo,17405,May 2017,Feb 2017,413,1531.5,1600,413,1531.5,1600,16
Edlib,Edlib,37117,May 2017,Feb 2017,400,5845,1700,400,5845,1700,16
Raqqa,Raqqa,104564,May 2017,Feb 2017,475,1300,1600,475,1300,1600,16
As_Suweida,As_Suweida,39,Jun 2017,Mar 2017,425,1937.5,1550,425,1937.5,1550,17
Lattakia,Lattakia,80,Jun 2017,Mar 2017,409,1537.5,1925,409,1537.5,1925,17
Tartous,Tartous,95,Jun 2017,Mar 2017,420,1537.5,1675,420,1537.5,1675,17
Al_Qunaytirah,Al_Qunaytirah,142,Jun 2017,Mar 2017,375,1550,1300,375,1550,1300,17
Damascus,Damascus,329,Jun 2017,Mar 2017,475,1200,1500,475,1200,1500,17
Homs,Homs,347,Jun 2017,Mar 2017,450,1460,1200,450,1460,1200,17
City-Damascus,City-Damascus,709,Jun 2017,Mar 2017,450,1075,1500,450,1075,1500,17
Deir Ezzor,Deir Ezzor,1676,Jun 2017,Mar 2017,925,4400,1150,925,4400,1150,17
Edlib,Edlib,3223,Jun 2017,Mar 2017,455,4005,1750,455,4005,1750,17
Hama,Hama,6225,Jun 2017,Mar 2017,550,1575,1450,550,1575,1450,17
Daraa,Daraa,8258,Jun 2017,Mar 2017,400,1525,1050,400,1525,1050,17
Hassakeh,Hassakeh,10241,Jun 2017,Mar 2017,437.5,1225,900,437.5,1225,900,17
Aleppo,Aleppo,11108,Jun 2017,Mar 2017,407.5,1500,1700,407.5,1500,1700,17
Raqqa,Raqqa,23570,Jun 2017,Mar 2017,450,1237.5,1600,450,1237.5,1600,17
As_Suweida,As_Suweida,35,Jul 2017,Apr 2017,425,1687.5,1600,425,1687.5,1600,18
Al_Qunaytirah,Al_Qunaytirah,55,Jul 2017,Apr 2017,387.5,1525,1350,387.5,1525,1350,18
Tartous,Tartous,100,Jul 2017,Apr 2017,425,1675,1700,425,1675,1700,18
Lattakia,Lattakia,110,Jul 2017,Apr 2017,412.5,1650,1925,412.5,1650,1925,18
Homs,Homs,207,Jul 2017,Apr 2017,450,1460,1300,450,1460,1300,18
Damascus,Damascus,518,Jul 2017,Apr 2017,475,1637.5,1500,475,1637.5,1500,18
City-Damascus,City-Damascus,574,Jul 2017,Apr 2017,450,1175,1500,450,1175,1500,18
Daraa,Daraa,942,Jul 2017,Apr 2017,400,1519,1100,400,1519,1100,18
Hama,Hama,1892,Jul 2017,Apr 2017,510,1675,1500,510,1675,1500,18
Hassakeh,Hassakeh,2854,Jul 2017,Apr 2017,419,1200,900,419,1200,900,18
Deir Ezzor,Deir Ezzor,3846,Jul 2017,Apr 2017,1e3,4525,1150,1e3,4525,1150,18
Edlib,Edlib,4033,Jul 2017,Apr 2017,400,4837.5,1850,400,4837.5,1850,18
Aleppo,Aleppo,5314,Jul 2017,Apr 2017,419,1500,1800,419,1500,1800,18
Raqqa,Raqqa,28353,Jul 2017,Apr 2017,450,1237.5,1600,450,1237.5,1600,18
Al_Qunaytirah,Al_Qunaytirah,25,Aug 2017,May 2017,406.5,1500,1350,406.5,1500,1350,19
As_Suweida,As_Suweida,35,Aug 2017,May 2017,425,1637.5,1800,425,1637.5,1800,19
Tartous,Tartous,205,Aug 2017,May 2017,425,1662.5,1850,425,1662.5,1850,19
Lattakia,Lattakia,475,Aug 2017,May 2017,406.5,1650,2e3,406.5,1650,2e3,19
Homs,Homs,596,Aug 2017,May 2017,450,1412.5,1500,450,1412.5,1500,19
Daraa,Daraa,694,Aug 2017,May 2017,400,1512.5,1150,400,1512.5,1150,19
Hassakeh,Hassakeh,721,Aug 2017,May 2017,419,1250,900,419,1250,900,19
Damascus,Damascus,1067,Aug 2017,May 2017,475,1550,1500,475,1550,1500,19
Hama,Hama,2160,Aug 2017,May 2017,550,1937.5,1700,550,1937.5,1700,19
Deir Ezzor,Deir Ezzor,3266,Aug 2017,May 2017,1e3,4250,1150,1e3,4250,1150,19
City-Damascus,City-Damascus,3292,Aug 2017,May 2017,450,1512.5,1500,450,1512.5,1500,19
Aleppo,Aleppo,4913,Aug 2017,May 2017,450,1490,1900,450,1490,1900,19
Edlib,Edlib,5774,Aug 2017,May 2017,312.5,4787.5,1950,312.5,4787.5,1950,19
Raqqa,Raqqa,39014,Aug 2017,May 2017,487.5,1237.5,1600,487.5,1237.5,1600,19
Deir Ezzor,Deir Ezzor,87643,Sep 2017,Jun 2017,1e3,4250,1150,1e3,4250,1150,20
Raqqa,Raqqa,16589,Sep 2017,Jun 2017,550,1244,1800,550,1244,1800,20
Edlib,Edlib,11500,Sep 2017,Jun 2017,350,4385,2e3,350,4385,2e3,20
Hama,Hama,7565,Sep 2017,Jun 2017,575,1787.5,1800,575,1787.5,1800,20
Damascus,Damascus,7054,Sep 2017,Jun 2017,475,1525,1500,475,1525,1500,20
Aleppo,Aleppo,2564,Sep 2017,Jun 2017,431.5,1475,2e3,431.5,1475,2e3,20
City-Damascus,City-Damascus,2021,Sep 2017,Jun 2017,450,1507.5,1500,450,1507.5,1500,20
Homs,Homs,740,Sep 2017,Jun 2017,475,1412.5,1600,475,1412.5,1600,20
Lattakia,Lattakia,546,Sep 2017,Jun 2017,412.5,1650,2e3,412.5,1650,2e3,20
Hassakeh,Hassakeh,490,Sep 2017,Jun 2017,425,1300,950,425,1300,950,20
Tartous,Tartous,240,Sep 2017,Jun 2017,425,1650,1850,425,1650,1850,20
Daraa,Daraa,223,Sep 2017,Jun 2017,400,1512.5,1200,400,1512.5,1200,20
Al_Qunaytirah,Al_Qunaytirah,75,Sep 2017,Jun 2017,419,1494,1350,419,1494,1350,20
As_Suweida,As_Suweida,25,Sep 2017,Jun 2017,425,1637.5,1900,425,1637.5,1900,20
Lattakia,Lattakia,225,Oct 2017,Jul 2017,400,1650,2e3,400,1650,2e3,21
Edlib,Edlib,27035,Oct 2017,Jul 2017,350,4385,2e3,350,4385,2e3,21
Tartous,Tartous,163,Oct 2017,Jul 2017,425,1650,1900,425,1650,1900,21
Deir Ezzor,Deir Ezzor,125145,Oct 2017,Jul 2017,1e3,4250,1150,1e3,4250,1150,21
Damascus,Damascus,378,Oct 2017,Jul 2017,475,1525,1600,475,1525,1600,21
Aleppo,Aleppo,3081,Oct 2017,Jul 2017,450,1462.5,2e3,450,1462.5,2e3,21
Hassakeh,Hassakeh,885,Oct 2017,Jul 2017,425,1312.5,950,425,1312.5,950,21
Al_Qunaytirah,Al_Qunaytirah,60,Oct 2017,Jul 2017,417.5,1512.5,1350,417.5,1512.5,1350,21
Daraa,Daraa,140,Oct 2017,Jul 2017,400,1562.5,1250,400,1562.5,1250,21
