Model	RMSE	MAE	R^2	Sign Acc
HM	10587.07	3066.022	0.2389	0.6341
LOCF	10660.7	2577.369	0.3463165	0.5895
LMM	10074.47	2370.81	0.3133336	0.7052
SVM	10292.38	2383.206	0.264714	0.7021
RF	9576.611	2237.728	0.4527692	0.7013
MERF	9627.894	2304.97	0.3437585	0.6966
XGB	9760.461	2351.414	0.3492945	0.6794
MLP	10283.04	2378.433	0.3517377	0.6763
