lon lat
46.05632 13.63434
45.01870 12.78550
45.57710 13.98890
44.77564 13.80498
42.97088 14.79091
45.29939 16.79018
51.68343 16.52384
43.54627 15.46878
44.22894 15.43293
43.94370 16.25690
44.40873 14.54554
49.36530 16.93040
43.60393 15.70304
44.16253 13.97209
44.85055 13.14896
45.32286 15.47003
43.55000 14.88330
43.74780 16.95090
44.19100 15.36940
46.51626 14.75463
44.01780 13.57759
