"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist"
"Al_Qunaytirah","Rural Damascus",150,Mar 2016,Dec 2015,564,3435,1475,331.25,1148.75,1090,2,-0.559242324139546,-0.59279985979646,-0.0894368249427563,-0.559242324139546,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",852,Apr 2016,Jan 2016,300,1830,800,450,2825,1100,3,-0.475348484997262,-0.458569717168805,-0.525684788482633,0.39714744208249,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",463,Apr 2016,Jan 2016,250,2275,1500,300,1830,800,3,-0.374675878026522,-0.475348484997262,-0.274003271055781,-0.525684788482633,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",150,Apr 2016,Jan 2016,250,2275,1500,450,2825,1100,3,-0.374675878026522,-0.458569717168805,-0.274003271055781,0.39714744208249,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Rural Damascus","Damascus",40,Apr 2016,Jan 2016,312.5,1111.66665,1500,529.1667,4741.66665,1500,3,0.648828959509342,-0.542463556311089,0.934068012593107,-0.0223217536289292,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",135,Apr 2016,Jan 2016,325,1150,900,300,1140,1150,3,-0.374675878026522,-0.525684788482633,0.430704977739404,-0.425012181511892,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",225,Apr 2016,Jan 2016,450,2825,1100,300,1830,800,3,-0.458569717168805,-0.475348484997262,0.39714744208249,-0.525684788482633,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Deir Ezzor","Homs",529,Apr 2016,Jan 2016,271.66665,1015.83335,1000,450,2825,1100,3,0.464262513396318,-0.458569717168805,0.179023460312552,0.39714744208249,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Rural Damascus","Homs",50,Apr 2016,Jan 2016,271.66665,1015.83335,1000,529.1667,4741.66665,1500,3,0.464262513396318,-0.542463556311089,0.179023460312552,-0.0223217536289292,36.7137,34.73243,36.95411,33.51673,137132.346030061
"Daraa","Rural Damascus",1380,Apr 2016,Jan 2016,529.1667,4741.66665,1500,325,1150,900,3,-0.542463556311089,-0.374675878026522,-0.0223217536289292,0.430704977739404,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",5,Apr 2016,Jan 2016,529.1667,4741.66665,1500,300,1140,1150,3,-0.542463556311089,-0.525684788482633,-0.0223217536289292,-0.425012181511892,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",226,May 2016,Feb 2016,300,1930,800,500,1500,1200,4,-0.458569717168805,-0.374675878026522,-0.307560806712694,-0.357897110198065,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",410,May 2016,Feb 2016,287.5,2275,1500,300,1930,800,4,-0.290782038884238,-0.458569717168805,-0.0223217536289292,-0.307560806712694,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",594,May 2016,Feb 2016,287.5,2275,1500,500,1500,1200,4,-0.290782038884238,-0.374675878026522,-0.0223217536289292,-0.357897110198065,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Daraa","As_Suweida",60,May 2016,Feb 2016,300,1375,1200,325,1156.25,900,4,-0.59279985979646,-0.374675878026522,-0.525684788482633,-0.0558792892858427,36.56629,32.7129,36.10331,32.62643,44440.0668295567
"Rural Damascus","Damascus",25,May 2016,Feb 2016,312.5,1125,1500,575,4750,1500,4,0.464262513396318,-0.357897110198065,1.03474061956385,-0.190109431913497,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",34,May 2016,Feb 2016,325,1156.25,900,300,1150,1200,4,-0.374675878026522,-0.59279985979646,-0.0558792892858427,-0.542463556311089,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",16,May 2016,Feb 2016,500,1500,1200,300,1930,800,4,-0.374675878026522,-0.458569717168805,-0.357897110198065,-0.307560806712694,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Daraa","Homs",5,May 2016,Feb 2016,350,1335,1100,325,1156.25,900,4,0.162244692484095,-0.374675878026522,0.380368674254034,-0.0558792892858427,36.7137,34.73243,36.10331,32.62643,241159.45101729
"Deir Ezzor","Homs",170,May 2016,Feb 2016,350,1335,1100,500,1500,1200,4,0.162244692484095,-0.374675878026522,0.380368674254034,-0.357897110198065,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Daraa","Rural Damascus",65,May 2016,Feb 2016,575,4750,1500,325,1156.25,900,4,-0.357897110198065,-0.374675878026522,-0.190109431913497,-0.0558792892858427,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",35,May 2016,Feb 2016,575,4750,1500,300,1150,1200,4,-0.357897110198065,-0.59279985979646,-0.190109431913497,-0.542463556311089,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",91,Jun 2016,Mar 2016,400,1405,800,537.5,2850,1100,5,-0.525684788482633,-0.391454645854978,-0.492127252825719,-0.525684788482633,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",830,Jun 2016,Mar 2016,300,2075,1500,400,1405,800,5,0.246138531626379,-0.525684788482633,-0.240445735398867,-0.492127252825719,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",650,Jun 2016,Mar 2016,300,2075,1500,537.5,2850,1100,5,0.246138531626379,-0.391454645854978,-0.240445735398867,-0.525684788482633,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Daraa","As_Suweida",30,Jun 2016,Mar 2016,300,1375,1200,275,1150,900,5,-0.59279985979646,-0.525684788482633,-0.59279985979646,-0.458569717168805,36.56629,32.7129,36.10331,32.62643,44440.0668295567
"Rural Damascus","Damascus",77,Jun 2016,Mar 2016,312.5,1125,1500,400,2500,1500,5,-0.0558792892858427,-0.508906020654176,-0.290782038884238,-0.559242324139546,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",20,Jun 2016,Mar 2016,275,1150,900,275,1150,1200,5,-0.525684788482633,-0.559242324139546,-0.458569717168805,-0.59279985979646,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",165,Jun 2016,Mar 2016,537.5,2850,1100,400,1405,800,5,-0.391454645854978,-0.525684788482633,-0.525684788482633,-0.492127252825719,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Deir Ezzor","Homs",35,Jun 2016,Mar 2016,306.25,1266.25,1200,537.5,2850,1100,5,-0.408233413683435,-0.391454645854978,3.33343181206243,-0.525684788482633,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Daraa","Rural Damascus",15,Jun 2016,Mar 2016,400,2500,1500,275,1150,900,5,-0.508906020654176,-0.525684788482633,-0.559242324139546,-0.458569717168805,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",34,Jun 2016,Mar 2016,400,2500,1500,275,1150,1200,5,-0.508906020654176,-0.559242324139546,-0.559242324139546,-0.59279985979646,36.95411,33.51673,35.8258,33.1263,113596.243846204
