"Destination","Origin","M_Size","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","dist","logFlow","flowLag1","id"
13,9,20,-1.16527676528985,-0.732103200042496,-1.55941782460285,-0.241150154204287,0.648729227260431,0.0259866454161044,0,-0.525684788482633,-0.0223217536289292,-0.458569717168805,-0.374675878026522,2.4408992371153,2.99573227355399,5.29831736654804,127
9,12,106,-0.580905833167522,0.190068338083586,0.312382830211508,-1.29992517146621,-0.71905589758195,-1.86068002687869,0,-0.274003271055781,-0.525684788482633,-0.00554298580047237,-0.458569717168805,0.0876924440724189,4.66343909411207,5.29831736654804,86
13,4,45,-1.44063479613283,-0.961718346608095,0.245532806825281,-0.241150154204287,0.648729227260431,0.0259866454161044,0,0.934068012593107,-0.0223217536289292,1.62199749355984,-0.374675878026522,-0.709553888317339,3.80666248977032,5.29831736654804,122
1,5,35,-1.42227759407664,-0.861986515271522,-1.82681791814776,-1.31026477124416,-0.722820443797112,-1.30166767953208,0,0.430704977739404,-0.425012181511892,-0.290782038884238,-0.441790949340349,-0.720821146158074,3.55534806148941,5.29831736654804,4
9,6,599,-0.287190600268341,1.52693874697663,-1.35886775444417,-1.29992517146621,-0.71905589758195,-1.86068002687869,0,0.39714744208249,-0.525684788482633,-0.441790949340349,-0.458569717168805,-0.109923602218688,6.39526159811545,5.29831736654804,82
13,6,60,-0.287190600268341,1.52693874697663,-1.35886775444417,-0.241150154204287,0.648729227260431,0.0259866454161044,0,0.39714744208249,-0.0223217536289292,-0.441790949340349,-0.374675878026522,1.49712289921115,4.0943445622221,5.29831736654804,124
6,10,83,-1.03065728354439,-0.739061234786908,-1.09146766089926,-0.112939116957725,1.72538944479691,-1.65105039662371,0,0.179023460312552,0.39714744208249,2.07502422492817,-0.441790949340349,1.22410022600721,4.4188406077966,5.29831736654804,57
5,13,73,-0.382036144225368,0.531939778525701,0.245532806825281,-1.64733572400528,-0.85959895628135,-2.14018620055199,0,-0.0223217536289292,0.430704977739404,-0.374675878026522,-0.290782038884238,-0.225464500935786,4.29045944114839,5.29831736654804,48
10,8,860,-1.18057443367002,-1.01784649354635,-1.02461763751304,-1.11794821537432,-0.726584990012275,-1.37154422295041,0,0.246138531626379,0.179023460312552,1.42065227961835,2.07502422492817,-0.839948338031188,6.75693238924755,5.29831736654804,93
12,9,5,-1.16527676528985,-0.732103200042496,-1.55941782460285,-0.509979748430948,0.278799819183795,0.09586318883443,0,-0.525684788482633,-0.274003271055781,-0.458569717168805,-0.00554298580047237,0.0876924440724189,1.6094379124341,5.29831736654804,116
12,6,45,-0.287190600268341,1.52693874697663,-1.35886775444417,-0.509979748430948,0.278799819183795,0.09586318883443,0,0.39714744208249,-0.274003271055781,-0.441790949340349,-0.00554298580047237,-0.244353992215216,3.80666248977032,5.29831736654804,113
12,8,83,-1.18057443367002,-1.01784649354635,-1.02461763751304,-0.509979748430948,0.278799819183795,0.09586318883443,0,0.246138531626379,-0.274003271055781,1.42065227961835,-0.00554298580047237,0.497210091373817,4.4188406077966,5.29831736654804,115
12,10,59,-1.03065728354439,-0.739061234786908,-1.09146766089926,-0.509979748430948,0.278799819183795,0.09586318883443,0,0.179023460312552,-0.274003271055781,2.07502422492817,-0.00554298580047237,0.69145361781001,4.07753744390572,5.29831736654804,117
12,7,18,-1.17292559947994,-0.735582217414702,-1.02461763751304,-0.509979748430948,0.278799819183795,0.09586318883443,0,0.34681113859712,-0.274003271055781,0.665607727337799,-0.00554298580047237,0.419725622524537,2.89037175789616,5.29831736654804,114
12,13,35,-0.382036144225368,0.531939778525701,0.245532806825281,-0.509979748430948,0.278799819183795,0.09586318883443,0,-0.0223217536289292,-0.274003271055781,-0.374675878026522,-0.00554298580047237,1.30816113611909,3.55534806148941,5.29831736654804,119
8,13,6,-0.382036144225368,0.531939778525701,0.245532806825281,-1.32060437102211,-1.02825062672063,-1.30166767953208,0,-0.0223217536289292,0.246138531626379,-0.374675878026522,1.42065227961835,0.188166908000307,1.79175946922805,5.29831736654804,79
2,10,100,-1.03065728354439,-0.739061234786908,-1.09146766089926,-1.43227204862395,-0.556929440582284,-1.30166767953208,0,0.179023460312552,1.15219199436305,2.07502422492817,2.51127218846805,0.0844003208248961,4.60517018598809,5.29831736654804,14
2,7,200,-1.17292559947994,-0.735582217414702,-1.02461763751304,-1.43227204862395,-0.556929440582284,-1.30166767953208,0,0.34681113859712,1.15219199436305,0.665607727337799,2.51127218846805,-0.77961921826261,5.29831736654804,5.29831736654804,11
3,4,70,-1.44063479613283,-0.961718346608095,0.245532806825281,-1.46122292800221,-0.583532233836099,-0.742655332185478,0,0.934068012593107,-0.59279985979646,1.62199749355984,-0.408233413683435,-0.480864632155332,4.24849524204936,5.29831736654804,20
3,13,379,-0.382036144225368,0.531939778525701,0.245532806825281,-1.46122292800221,-0.583532233836099,-0.742655332185478,0,-0.0223217536289292,-0.59279985979646,-0.374675878026522,-0.408233413683435,-0.455547923182321,5.93753620508243,5.29831736654804,27
7,4,10,-1.44063479613283,-0.961718346608095,0.245532806825281,-1.31026477124416,-0.722820443797112,-1.30166767953208,0,0.934068012593107,0.34681113859712,1.62199749355984,0.665607727337799,0.86373253513719,2.30258509299405,5.29831736654804,61
7,8,4398,-1.18057443367002,-1.01784649354635,-1.02461763751304,-1.31026477124416,-0.722820443797112,-1.30166767953208,0,0.246138531626379,0.34681113859712,1.42065227961835,0.665607727337799,-0.515647856765596,8.38890517111471,5.29831736654804,65
